제주 대분류,제주 중분류,업종명,성별,연령대별, 카드이용금액 , 카드이용건수 
서귀포시,성산읍,약국,남,30대,1130060,127
서귀포시,성산읍,악세 사리,남,20대,141500,16
서귀포시,남원읍,기타음료식품,남,30대,556550,63
제주시,삼도2동,약국,여,40대,538110,61
제주시,용담2동,약국,남,40대,1168400,134
제주시,애월읍,약국,남,20대,148000,17
제주시,삼도2동,약국,여,30대,626300,72
서귀포시,남원읍,의원,남,40대,95500,11
제주시,이도2동,약국,여,20대,1605980,185
제주시,애월읍,기타음료식품,남,30대,171100,20
서귀포시,대륜동,약국,여,40대,595800,70
서귀포시,남원읍,약국,남,40대,204100,24
서귀포시,남원읍,약국,남,30대,227900,27
제주시,용담2동,약국,남,30대,1426150,171
제주시,용담2동,약국,남,20대,1069400,129
제주시,삼도2동,약국,남,30대,385400,47
제주시,삼도2동,슈퍼 마켓,남,20대,381930,47
서귀포시,남원읍,약국,여,40대,201000,25
서귀포시,대륜동,기타음료식품,여,40대,1020800,127
서귀포시,대륜동,약국,남,20대,328600,41
제주시,용담2동,약국,여,20대,2259800,284
서귀포시,남원읍,기타음료식품,남,50대,206150,26
서귀포시,남원읍,기타음료식품,여,20대,237700,30
제주시,애월읍,약국,남,30대,569200,73
제주시,이도2동,약국,남,20대,722055,93
서귀포시,대륜동,약국,남,50대,310000,40
제주시,용담2동,의원,남,30대,113200,15
서귀포시,성산읍,약국,남,20대,430700,58
제주시,애월읍,약국,여,30대,454000,62
서귀포시,남원읍,의원,남,30대,72800,10
서귀포시,대륜동,기타음료식품,남,30대,1400300,197
서귀포시,남원읍,약국,여,30대,231100,33
서귀포시,대륜동,약국,여,30대,817200,117
서귀포시,대륜동,기타음료식품,여,30대,1500350,216
서귀포시,대륜동,기타음료식품,여,20대,648050,94
서귀포시,성산읍,약국,여,20대,916180,134
서귀포시,성산읍,의원,여,30대,248900,37
서귀포시,남원읍,기타음료식품,여,40대,120150,18
제주시,애월읍,약국,여,20대,280000,42
서귀포시,대륜동,약국,여,20대,475085,73
서귀포시,대륜동,의원,남,40대,62400,10
서귀포시,남원읍,약국,여,20대,87000,15
서귀포시,남원읍,기타음료식품,남,20대,243100,42
제주시,연동,기타음료식품,여,20대,208300,36
서귀포시,남원읍,약국,남,20대,53800,10
제주시,노형동,스포츠레져용품,남,40대,12770300,28
제주시,노형동,스포츠레져용품,남,50대,2570900,14
제주시,연동,정장(여성),남,50대,4204100,23
제주시,노형동,스포츠레져용품,여,50대,1997200,11
서귀포시,대륜동,농축수산품,여,50대,11001900,61
제주시,노형동,정장(여성),남,40대,3282650,20
서귀포시,대륜동,농축수산품,남,50대,11223500,69
서귀포시,대륜동,농축수산품,여,40대,12265600,80
제주시,노형동,스포츠레져용품,남,30대,1611200,11
제주시,연동,농축수산품,남,50대,6933200,48
제주시,이도2동,스포츠레져용품,남,40대,3688000,28
제주시,노형동,안경,남,40대,3109000,24
서귀포시,대륜동,안경,남,50대,1472000,12
제주시,삼도2동,스포츠레져용품,여,50대,1772700,15
제주시,연동,스포츠레져용품,여,50대,9120160,80
서귀포시,대륜동,농축수산품,남,40대,11030900,97
제주시,노형동,스포츠레져용품,여,30대,1235400,11
제주시,연동,정장(여성),남,40대,2294700,21
제주시,연동,정장(여성),여,40대,5605800,52
제주시,연동,농축수산품,여,40대,6374100,60
서귀포시,남원읍,골프 용품,남,50대,1479500,14
제주시,삼도2동,스포츠레져용품,남,40대,4421700,42
서귀포시,예래동,스포츠레져용품,남,30대,2722200,26
제주시,노형동,안경,남,50대,1360000,13
제주시,이도2동,안경,남,30대,1348000,13
제주시,연동,정장(여성),여,50대,3420400,33
제주시,연동,정장(여성),남,30대,4742100,47
제주시,이도2동,스포츠레져용품,남,20대,1003000,10
제주시,연동,정장(여성),여,30대,9093610,95
제주시,연동,신   발,여,30대,1626500,17
제주시,노형동,안경,남,20대,1037000,11
제주시,이도2동,안경,남,40대,1029000,11
제주시,이도2동,안경,여,30대,998000,11
제주시,연동,스포츠레져용품,여,40대,12115600,135
제주시,삼도2동,스포츠레져용품,여,20대,973200,11
제주시,연동,안경,남,50대,1302600,15
제주시,연동,스포츠레져용품,여,30대,19629010,227
제주시,연동,스포츠레져용품,남,50대,9242500,107
제주시,연동,농축수산품,남,40대,6450300,75
제주시,삼도2동,스포츠레져용품,남,30대,2903900,34
제주시,노형동,정장(여성),여,50대,1790100,21
서귀포시,대륜동,안경,여,40대,1181000,14
제주시,이도2동,기타음료식품,여,50대,1094500,13
제주시,노형동,안경,여,30대,2185000,26
제주시,연동,신   발,남,30대,1089800,13
제주시,노형동,의원,여,50대,9943700,119
제주시,이도2동,스포츠레져용품,남,50대,2071200,25
서귀포시,예래동,스포츠레져용품,여,40대,1980900,24
제주시,노형동,정장(여성),여,40대,2133150,26
제주시,이도2동,농축수산품,남,50대,10096990,125
제주시,노형동,정장(여성),남,30대,1277000,16
제주시,이도2동,안경,남,20대,1116000,14
서귀포시,예래동,스포츠레져용품,여,30대,792400,10
서귀포시,예래동,스포츠레져용품,여,20대,782800,10
제주시,삼도2동,스포츠레져용품,여,40대,935700,12
제주시,이도2동,정장(여성),남,30대,2170100,28
서귀포시,대륜동,안경,남,40대,1518000,20
제주시,노형동,안경,여,40대,1428000,19
제주시,용담2동,농축수산품,남,50대,28609140,386
제주시,연동,스포츠레져용품,남,40대,14152900,191
제주시,용담2동,기타음료식품,여,50대,1775400,24
제주시,노형동,농축수산품,여,40대,4141500,56
제주시,노형동,농축수산품,여,30대,6029000,84
제주시,노형동,안경,남,30대,1722000,24
서귀포시,대륜동,농축수산품,여,30대,5062500,71
제주시,이도2동,농축수산품,여,50대,10195560,144
서귀포시,예래동,스포츠레져용품,여,50대,1128500,16
제주시,용담2동,스포츠레져용품,남,30대,985000,14
제주시,연동,스포츠레져용품,남,30대,19410300,282
서귀포시,대륜동,농축수산품,남,30대,5621000,82
제주시,삼도2동,스포츠레져용품,여,30대,821600,12
제주시,용담2동,농축수산품,남,40대,29156650,433
제주시,용담2동,농축수산품,여,50대,20708720,308
제주시,이도2동,안경,남,50대,1066000,16
제주시,삼도2동,농축수산품,남,30대,1454000,22
제주시,노형동,정장(여성),여,30대,2510900,38
제주시,삼도2동,농축수산품,남,40대,974000,15
제주시,노형동,기념품 점,남,50대,1026350,16
제주시,연동,정장(여성),남,20대,1408200,22
서귀포시,예래동,농축수산품,남,50대,3502400,55
제주시,연동,신   발,여,50대,632200,10
제주시,연동,안경,남,30대,2715200,43
서귀포시,대륜동,안경,남,30대,1136000,18
제주시,이도2동,정장(여성),여,40대,1886000,30
서귀포시,예래동,농축수산품,여,40대,4983700,80
